phenotype	TOME_Cell_Type	Lineage
rbc	EB	erythroid_lineage
mcv	EB	erythroid_lineage
hct	EB	erythroid_lineage
mch	EB	erythroid_lineage
mchc	EB	erythroid_lineage
hgb	EB	erythroid_lineage
rdw_cv	EB	erythroid_lineage
MacrorR	EB	erythroid_lineage
MicroR	EB	erythroid_lineage
RBC-He	EB	erythroid_lineage
Delta-He	EB	erythroid_lineage
RET-RBC-FSC	EB	erythroid_lineage
Hyer-He	EB	erythroid_lineage
RDW-SD	EB	erythroid_lineage
RPI	EB	erythroid_lineage
HFR	EB	erythroid_lineage
LFR	EB	erythroid_lineage
MFR	EB	erythroid_lineage
IG	EB	erythroid_lineage
IG_perc	EB	erythroid_lineage
ret	EB	erythroid_lineage
ret_p	EB	erythroid_lineage
irf	EB	erythroid_lineage
hlr	EB	erythroid_lineage
hlr_p	EB	erythroid_lineage
mrv	EB	erythroid_lineage
mscv	EB	erythroid_lineage
RET-FSC	EB	erythroid_lineage
IRF-FSC	EB	erythroid_lineage
RET-He	EB	erythroid_lineage
RET-UPP	EB	erythroid_lineage
rbc	HSC	erythroid_lineage
mcv	HSC	erythroid_lineage
hct	HSC	erythroid_lineage
mch	HSC	erythroid_lineage
mchc	HSC	erythroid_lineage
hgb	HSC	erythroid_lineage
rdw_cv	HSC	erythroid_lineage
MacrorR	HSC	erythroid_lineage
MicroR	HSC	erythroid_lineage
RBC-He	HSC	erythroid_lineage
Delta-He	HSC	erythroid_lineage
RET-RBC-FSC	HSC	erythroid_lineage
Hyer-He	HSC	erythroid_lineage
RDW-SD	HSC	erythroid_lineage
RPI	HSC	erythroid_lineage
HFR	HSC	erythroid_lineage
LFR	HSC	erythroid_lineage
MFR	HSC	erythroid_lineage
IG	HSC	erythroid_lineage
IG_perc	HSC	erythroid_lineage
ret	HSC	erythroid_lineage
ret_p	HSC	erythroid_lineage
irf	HSC	erythroid_lineage
hlr	HSC	erythroid_lineage
hlr_p	HSC	erythroid_lineage
mrv	HSC	erythroid_lineage
mscv	HSC	erythroid_lineage
RET-FSC	HSC	erythroid_lineage
IRF-FSC	HSC	erythroid_lineage
RET-He	HSC	erythroid_lineage
RET-UPP	HSC	erythroid_lineage
rbc	HMP	erythroid_lineage
mcv	HMP	erythroid_lineage
hct	HMP	erythroid_lineage
mch	HMP	erythroid_lineage
mchc	HMP	erythroid_lineage
hgb	HMP	erythroid_lineage
rdw_cv	HMP	erythroid_lineage
MacrorR	HMP	erythroid_lineage
MicroR	HMP	erythroid_lineage
RBC-He	HMP	erythroid_lineage
Delta-He	HMP	erythroid_lineage
RET-RBC-FSC	HMP	erythroid_lineage
Hyer-He	HMP	erythroid_lineage
RDW-SD	HMP	erythroid_lineage
RPI	HMP	erythroid_lineage
HFR	HMP	erythroid_lineage
LFR	HMP	erythroid_lineage
MFR	HMP	erythroid_lineage
IG	HMP	erythroid_lineage
IG_perc	HMP	erythroid_lineage
ret	HMP	erythroid_lineage
ret_p	HMP	erythroid_lineage
irf	HMP	erythroid_lineage
hlr	HMP	erythroid_lineage
hlr_p	HMP	erythroid_lineage
mrv	HMP	erythroid_lineage
mscv	HMP	erythroid_lineage
RET-FSC	HMP	erythroid_lineage
IRF-FSC	HMP	erythroid_lineage
RET-He	HMP	erythroid_lineage
RET-UPP	HMP	erythroid_lineage
rbc	CMP	erythroid_lineage
mcv	CMP	erythroid_lineage
hct	CMP	erythroid_lineage
mch	CMP	erythroid_lineage
mchc	CMP	erythroid_lineage
hgb	CMP	erythroid_lineage
rdw_cv	CMP	erythroid_lineage
MacrorR	CMP	erythroid_lineage
MicroR	CMP	erythroid_lineage
RBC-He	CMP	erythroid_lineage
Delta-He	CMP	erythroid_lineage
RET-RBC-FSC	CMP	erythroid_lineage
Hyer-He	CMP	erythroid_lineage
RDW-SD	CMP	erythroid_lineage
RPI	CMP	erythroid_lineage
HFR	CMP	erythroid_lineage
LFR	CMP	erythroid_lineage
MFR	CMP	erythroid_lineage
IG	CMP	erythroid_lineage
IG_perc	CMP	erythroid_lineage
ret	CMP	erythroid_lineage
ret_p	CMP	erythroid_lineage
irf	CMP	erythroid_lineage
hlr	CMP	erythroid_lineage
hlr_p	CMP	erythroid_lineage
mrv	CMP	erythroid_lineage
mscv	CMP	erythroid_lineage
RET-FSC	CMP	erythroid_lineage
IRF-FSC	CMP	erythroid_lineage
RET-He	CMP	erythroid_lineage
RET-UPP	CMP	erythroid_lineage
rbc	MEP	erythroid_lineage
mcv	MEP	erythroid_lineage
hct	MEP	erythroid_lineage
mch	MEP	erythroid_lineage
mchc	MEP	erythroid_lineage
hgb	MEP	erythroid_lineage
rdw_cv	MEP	erythroid_lineage
MacrorR	MEP	erythroid_lineage
MicroR	MEP	erythroid_lineage
RBC-He	MEP	erythroid_lineage
Delta-He	MEP	erythroid_lineage
RET-RBC-FSC	MEP	erythroid_lineage
Hyer-He	MEP	erythroid_lineage
RDW-SD	MEP	erythroid_lineage
RPI	MEP	erythroid_lineage
HFR	MEP	erythroid_lineage
LFR	MEP	erythroid_lineage
MFR	MEP	erythroid_lineage
IG	MEP	erythroid_lineage
IG_perc	MEP	erythroid_lineage
ret	MEP	erythroid_lineage
ret_p	MEP	erythroid_lineage
irf	MEP	erythroid_lineage
hlr	MEP	erythroid_lineage
hlr_p	MEP	erythroid_lineage
mrv	MEP	erythroid_lineage
mscv	MEP	erythroid_lineage
RET-FSC	MEP	erythroid_lineage
IRF-FSC	MEP	erythroid_lineage
RET-He	MEP	erythroid_lineage
RET-UPP	MEP	erythroid_lineage
plt	MK	mega_lineage
mpv	MK	mega_lineage
pdw	MK	mega_lineage
pct	MK	mega_lineage
H-IPF	MK	mega_lineage
IPF_perc	MK	mega_lineage
IPF	MK	mega_lineage
P-LCR	MK	mega_lineage
plt	HSC	mega_lineage
mpv	HSC	mega_lineage
pdw	HSC	mega_lineage
pct	HSC	mega_lineage
H-IPF	HSC	mega_lineage
IPF_perc	HSC	mega_lineage
IPF	HSC	mega_lineage
P-LCR	HSC	mega_lineage
plt	HMP	mega_lineage
mpv	HMP	mega_lineage
pdw	HMP	mega_lineage
pct	HMP	mega_lineage
H-IPF	HMP	mega_lineage
IPF_perc	HMP	mega_lineage
IPF	HMP	mega_lineage
P-LCR	HMP	mega_lineage
plt	CMP	mega_lineage
mpv	CMP	mega_lineage
pdw	CMP	mega_lineage
pct	CMP	mega_lineage
H-IPF	CMP	mega_lineage
IPF_perc	CMP	mega_lineage
IPF	CMP	mega_lineage
P-LCR	CMP	mega_lineage
plt	MEP	mega_lineage
mpv	MEP	mega_lineage
pdw	MEP	mega_lineage
pct	MEP	mega_lineage
H-IPF	MEP	mega_lineage
IPF_perc	MEP	mega_lineage
IPF	MEP	mega_lineage
P-LCR	MEP	mega_lineage
mono	CB-MONO	gran_mono_lineage
wbc	CB-MONO	lymph_lineage
mono_p	CB-MONO	gran_mono_lineage
MO-FSC	CB-MONO	gran_mono_lineage
MO-FSC-DW	CB-MONO	gran_mono_lineage
MO-SSC	CB-MONO	gran_mono_lineage
MO-SSC-DW	CB-MONO	gran_mono_lineage
MO-SFL	CB-MONO	gran_mono_lineage
MO-SFL-DW	CB-MONO	gran_mono_lineage
mono	VB-MONO	gran_mono_lineage
wbc	VB-MONO	lymph_lineage
mono_p	VB-MONO	gran_mono_lineage
MO-FSC	VB-MONO	gran_mono_lineage
MO-FSC-DW	VB-MONO	gran_mono_lineage
MO-SSC	VB-MONO	gran_mono_lineage
MO-SSC-DW	VB-MONO	gran_mono_lineage
MO-SFL	VB-MONO	gran_mono_lineage
